SN,Date ,AEZ1,Year,State,LGA,Location,Village,Lat,Long,Crop,Code,Type,Treatment,B1,B2,G1,G2,Total-Afl,Source
742,29-Feb-12,,2012,Edo,Esan Central,,,6.6888,6.2164,Maize,ED1475M,,,4.71,1.76,0,0,6.47,NAFDAC Market Survey Sample 2012
743,29-Feb-12,,2012,Edo,Egor,,,6.3671,5.5722,Maize,ED1476M,,,6.01,0.99,0,0,7,NAFDAC Market Survey Sample 2012
744,29-Feb-12,,2012,Edo,Ovia North-East,,,6.5047,5.6037,Maize,ED1477M,,,2.32,1.03,0,0,3.35,NAFDAC Market Survey Sample 2012
745,29-Feb-12,,2012,Edo,Ovia North-East,,,6.5047,5.6037,Maize,ED1478M,,,0,0,0,0,0,NAFDAC Market Survey Sample 2012
746,29-Feb-12,,2012,Edo,Ikpoba Okha,,,6.1649,5.6879,Maize,ED1479M,,,3.43,0,2.23,0,5.66,NAFDAC Market Survey Sample 2012
747,29-Feb-12,,2012,Edo,Egor,,,6.3671,5.5722,Maize,ED1480M,,,0.67,2.17,0,0,2.84,NAFDAC Market Survey Sample 2012
748,29-Feb-12,,2012,Edo,Ovia North-East,,,6.5047,5.6037,Maize,ED1481M,,,0,0,0,0,0,NAFDAC Market Survey Sample 2012
749,29-Feb-12,,2012,Edo,Oredo,,,6.2298,5.5407,Maize,ED1482M,,,1.23,1.17,2.68,0.51,5.59,NAFDAC Market Survey Sample 2012
750,29-Feb-12,,2012,Edo,Akoko-Edo,,,7.3533,6.1103,Maize,ED1483M,,,0,0,0,0,0,NAFDAC Market Survey Sample 2012
751,29-Feb-12,,2012,Edo,Esan West,,,6.6899,6.1315,Maize,ED1484M,,,1.36,0,2,1.1,4.46,NAFDAC Market Survey Sample 2012
752,29-Feb-12,,2012,Edo,Igueben,,,6.5888,6.2389,Maize,ED1485M,,,0.92,1.82,21.4,0,24.14,NAFDAC Market Survey Sample 2012
753,29-Feb-12,,2012,Edo,Igueben,,,6.5888,6.2389,Maize,ED1486M,,,1.94,1.75,2.13,0,5.82,NAFDAC Market Survey Sample 2012
754,29-Feb-12,,2012,Edo,Etsako East,,,7.2627,6.4503,Maize,ED1487M,,,14.1,2.14,0,0,16.24,NAFDAC Market Survey Sample 2012
755,29-Feb-12,,2012,Edo,Owan West,,,6.9279,5.8565,Maize,ED1488M,,,9.73,1.73,0,0,11.46,NAFDAC Market Survey Sample 2012
756,29-Feb-12,,2012,Edo,Esan West,,,6.6899,6.1315,Maize,ED1489M,,,0,0,0,0,0,NAFDAC Market Survey Sample 2012
757,29-Feb-12,,2012,Edo,Etsako West,,,7.008,6.2801,Maize,ED1490M,,,0,0,0,0,0,NAFDAC Market Survey Sample 2012
758,29-Feb-12,,2012,Edo,Owan West,,,6.9279,5.8565,Maize,ED1491M,,,2.82,0,0,0,2.82,NAFDAC Market Survey Sample 2012
759,29-Feb-12,,2012,Edo,Igueben,,,6.5888,6.2389,Maize,ED1492M,,,0,0,0,0,0,NAFDAC Market Survey Sample 2012
760,29-Feb-12,,2012,Edo,Esan North-East,,,6.7297,6.3439,Maize,ED1493M,,,2.51,0.74,0,0,3.25,NAFDAC Market Survey Sample 2012
761,29-Feb-12,,2012,Edo,Etsako West,,,7.008,6.2801,Maize,ED1494M,,,9.79,1.87,4.24,3.02,18.92,NAFDAC Market Survey Sample 2012
762,29-Feb-12,,2012,Edo,Orhionmwon,,,6.1194,5.9833,Maize,ED1495M,,,0,0,0,0,0,NAFDAC Market Survey Sample 2012
763,29-Feb-12,,2012,Edo,Oredo,,,6.2298,5.5407,Maize,ED1496M,,,3.35,1.64,2.71,0.8,8.5,NAFDAC Market Survey Sample 2012
764,29-Feb-12,,2012,Edo,Esan North-East,,,6.7297,6.3439,Maize,ED1497M,,,4.12,6.91,0,0,11.03,NAFDAC Market Survey Sample 2012
765,29-Feb-12,,2012,Edo,Esan West,,,6.6899,6.1315,Maize,ED1498M,,,2.24,0,0,0,2.24,NAFDAC Market Survey Sample 2012
766,29-Feb-12,,2012,Edo,Esan Central,,,6.6888,6.2164,Maize,ED1499M,,,3.11,32.79,6.87,4.23,47,NAFDAC Market Survey Sample 2012
767,29-Feb-12,,2012,Edo,Esan South-East,,,6.6214,6.493,Maize,ED1500M,,,1.68,1.74,0,0,3.42,NAFDAC Market Survey Sample 2012
768,29-Feb-12,,2012,Edo,Ikpoba Okha,,,6.1649,5.6879,Maize,ED1501M,,,10.5,10.37,7.93,0,28.8,NAFDAC Market Survey Sample 2012
769,29-Feb-12,,2012,Edo,Owan West,,,6.9279,5.8565,Maize,ED1502M,,,0,0,0,0,0,NAFDAC Market Survey Sample 2012
770,29-Feb-12,,2012,Edo,Egor,,,6.3671,5.5722,Maize,ED1503M,,,0,0,0,0,0,NAFDAC Market Survey Sample 2012
771,29-Feb-12,,2012,Edo,Esan South-East,,,6.6214,6.493,Maize,ED1504M,,,15.91,3.35,12.56,0.61,32.43,NAFDAC Market Survey Sample 2012
772,29-Feb-12,,2012,Edo,Etsako West,,,7.008,6.2801,Maize,ED1505M,,,0,0,0,0,0,NAFDAC Market Survey Sample 2012
773,29-Feb-12,,2012,Edo,Esan Central,,,6.6888,6.2164,Maize,ED1506M,,,2.85,0,20.34,3.05,26.24,NAFDAC Market Survey Sample 2012
774,29-Feb-12,,2012,Edo,Ikpoba Okha,,,6.1649,5.6879,Maize,ED1507M,,,0.75,1.27,0,0,2.02,NAFDAC Market Survey Sample 2012
775,29-Feb-12,,2012,Edo,Etsako Central,,,7.0057,6.4503,Maize,ED1508M,,,1.3,1.55,0,0,2.85,NAFDAC Market Survey Sample 2012
